old.var,new.var,Intext
RASE,Rainfall seasonality,Rainfall seasonality
TSE,Temperature seasonality,Temperature \nseasonality
WorldClim2_SolarRadiation_AnnualMean,Solar radiation,Solar radiation
CVppt,Precipitation variability,Precipitation variability
GLW3_RuminantsDistribution,Ruminants density,Ruminants density
MDR,Diurnal temperature range,Diurnal temperature range
Aridity,Aridity,Aridity
yearsdrought,Years of drought,Years of drought
trendPpt,Trend in Precipitation,Trend in Precipitation
MTWQ,Mean Temperature of wettest quarter,Mean Temperature \nof wettest quarter
FanEtAl_Depth_to_Water_Table_AnnualMean,Depth of water table,Depth of \nwater table
trendPDSI,Trend in PDSI,Trend in PDSI
Elevation,Elevation,Elevation
MTDQ,Mean temperature of driest quarter,Mean temperature \nof driest quarter
LORC,Soil organic carbon,Soil organic carbon
WCS_Human_Footprint_2009,Human footprint,Human footprint
ndvi,Productivity (NDVI),Productivity (NDVI)
SGsand,Sand content,Sand content
GHS_Population_Density,Population density,Population density
SG_Depth_to_bedrock,Depth to bedrock,Depth to bedrock
RCQ.perc,Rainfall of coldest quarter,Rainfall of \ncoldest quarter
change.LC_de-Desertification,,
change.LC_Desertification,,
change.LC_Forest->Open,,
change.LC_Forest->Savannah,,
change.LC_Grassland->Shrubland,,
change.LC_Open->Forest,,
change.LC_Open->Savannah,,
change.LC_Savannah->Forest,,
change.LC_Savannah->Open,,
change.LC_Shrubland->Grassland,,
